step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
101,0.4636911153793335,,0,,,,,,,2026-06-18T03:03:24.8710000Z
102,0.4881581664085388,,0,,,,,,,2026-06-18T03:03:38.5710000Z
103,0.5469508767127991,,0,,,,,,,2026-06-18T03:03:52.8170000Z
104,0.38007116317749023,,0,,,,,,,2026-06-18T03:04:07.0460000Z
105,0.44809019565582275,,0,,,,,,,2026-06-18T03:04:20.6720000Z
106,0.4046579599380493,,0,,,,,,,2026-06-18T03:04:34.3020000Z
107,0.35426169633865356,,0,,,,,,,2026-06-18T03:04:48.3210000Z
108,0.3664736747741699,,0,,,,,,,2026-06-18T03:05:02.2490000Z
109,0.33013248443603516,,0,,,,,,,2026-06-18T03:05:15.9780000Z
110,0.4076269865036011,,0,0.40752577781677246,,0,,,,2026-06-18T03:05:33.8520000Z
111,0.4437088966369629,,0,,,,,,,2026-06-18T03:05:48.0600000Z
112,0.3217849135398865,,0,,,,,,,2026-06-18T03:06:01.9910000Z
113,0.3995182514190674,,0,,,,,,,2026-06-18T03:06:16.3090000Z
114,0.3911939859390259,,0,,,,,,,2026-06-18T03:06:30.5430000Z
115,0.33493226766586304,,0,,,,,,,2026-06-18T03:06:44.1740000Z
116,0.2802138328552246,,0,,,,,,,2026-06-18T03:06:58.1010000Z
117,0.37308269739151,,0,,,,,,,2026-06-18T03:07:11.7240000Z
118,0.2863880395889282,,0,,,,,,,2026-06-18T03:07:25.4410000Z
119,0.6077038049697876,,0,,,,,,,2026-06-18T03:07:39.1250000Z
120,0.4410806894302368,,0,0.36627525091171265,,0,,,,2026-06-18T03:07:57.0120000Z
121,0.530780553817749,,0,,,,,,,2026-06-18T03:08:10.8610000Z
122,0.4027519226074219,,0,,,,,,,2026-06-18T03:08:27.5870000Z
123,0.32158833742141724,,0,,,,,,,2026-06-18T03:08:41.5510000Z
124,0.30436408519744873,,0,,,,,,,2026-06-18T03:08:55.2000000Z
125,0.3633614778518677,,0,,,,,,,2026-06-18T03:09:08.8340000Z
126,0.36208099126815796,,0,,,,,,,2026-06-18T03:09:22.4700000Z
127,0.4242485761642456,,0,,,,,,,2026-06-18T03:09:36.3960000Z
128,0.3558143377304077,,0,,,,,,,2026-06-18T03:09:50.3460000Z
129,0.3266448378562927,,0,,,,,,,2026-06-18T03:10:04.3260000Z
130,0.287489652633667,,0,0.3829536437988281,,0,,,,2026-06-18T03:10:22.2030000Z
131,0.27197110652923584,,0,,,,,,,2026-06-18T03:10:35.7510000Z
132,0.359811007976532,,0,,,,,,,2026-06-18T03:10:49.7000000Z
133,0.30372512340545654,,0,,,,,,,2026-06-18T03:11:03.6760000Z
134,0.2743874788284302,,0,,,,,,,2026-06-18T03:11:17.3880000Z
135,0.317854106426239,,0,,,,,,,2026-06-18T03:11:31.1260000Z
136,0.421339750289917,,0,,,,,,,2026-06-18T03:11:44.8560000Z
137,0.4350128769874573,,0,,,,,,,2026-06-18T03:11:58.5970000Z
138,0.47527211904525757,,0,,,,,,,2026-06-18T03:12:12.3200000Z
139,0.3399137258529663,,0,,,,,,,2026-06-18T03:12:26.0700000Z
140,0.31982922554016113,,0,0.33468252420425415,,0,,,,2026-06-18T03:12:44.0500000Z
141,0.3348786234855652,,0,,,,,,,2026-06-18T03:12:57.6100000Z
142,0.3007408380508423,,0,,,,,,,2026-06-18T03:13:11.2360000Z
143,0.30293726921081543,,0,,,,,,,2026-06-18T03:13:24.8780000Z
144,0.3018064498901367,,0,,,,,,,2026-06-18T03:13:38.8100000Z
145,0.21264755725860596,,0,,,,,,,2026-06-18T03:13:52.7440000Z
146,0.27395033836364746,,0,,,,,,,2026-06-18T03:14:06.3760000Z
147,0.2125699520111084,,0,,,,,,,2026-06-18T03:14:20.3120000Z
148,0.2301344871520996,,0,,,,,,,2026-06-18T03:14:33.9490000Z
149,0.20842862129211426,,0,,,,,,,2026-06-18T03:14:47.5960000Z
150,0.20345687866210938,,0,0.3023087978363037,,0,,,,2026-06-18T03:15:05.7610000Z
151,0.34872978925704956,,0,,,,,,,2026-06-18T03:15:19.6730000Z
152,0.40787696838378906,,0,,,,,,,2026-06-18T03:15:33.6170000Z
153,0.28545069694519043,,0,,,,,,,2026-06-18T03:15:47.2570000Z
154,0.29013168811798096,,0,,,,,,,2026-06-18T03:16:01.2560000Z
155,0.21784281730651855,,0,,,,,,,2026-06-18T03:16:14.9350000Z
156,0.32942938804626465,,0,,,,,,,2026-06-18T03:16:28.8970000Z
157,0.265339732170105,,0,,,,,,,2026-06-18T03:16:42.8360000Z
158,0.24422085285186768,,0,,,,,,,2026-06-18T03:16:56.8310000Z
159,0.21512162685394287,,0,,,,,,,2026-06-18T03:17:10.7780000Z
160,0.22277545928955078,,0,0.25048160552978516,,0,,,,2026-06-18T03:17:28.9140000Z
161,0.33367854356765747,,0,,,,,,,2026-06-18T03:17:42.8480000Z
162,0.36512458324432373,,0,,,,,,,2026-06-18T03:17:57.0900000Z
163,0.23266565799713135,,0,,,,,,,2026-06-18T03:18:11.1040000Z
164,0.5574299097061157,,0,,,,,,,2026-06-18T03:18:28.0910000Z
165,0.19538462162017822,,0,,,,,,,2026-06-18T03:18:42.3560000Z
166,0.2624087333679199,,0,,,,,,,2026-06-18T03:18:56.9090000Z
167,0.39834827184677124,,0,,,,,,,2026-06-18T03:19:10.5800000Z
168,0.2560279369354248,,0,,,,,,,2026-06-18T03:19:24.2440000Z
169,0.22192418575286865,,0,,,,,,,2026-06-18T03:19:37.8940000Z
170,0.19454288482666016,,0,0.21802139282226562,,0,,,,2026-06-18T03:19:55.8110000Z
171,0.2293107509613037,,0,,,,,,,2026-06-18T03:20:09.3810000Z
172,0.19542312622070312,,0,,,,,,,2026-06-18T03:20:23.0680000Z
173,0.13185858726501465,,0,,,,,,,2026-06-18T03:20:37.0100000Z
174,0.20824193954467773,,0,,,,,,,2026-06-18T03:20:50.6500000Z
175,0.1813502311706543,,0,,,,,,,2026-06-18T03:21:04.3190000Z
176,0.19255578517913818,,0,,,,,,,2026-06-18T03:21:17.9840000Z
177,0.2445462942123413,,0,,,,,,,2026-06-18T03:21:31.6440000Z
178,0.14824748039245605,,0,,,,,,,2026-06-18T03:21:45.6220000Z
179,0.1411912441253662,,0,,,,,,,2026-06-18T03:21:59.2640000Z
180,0.15052270889282227,,0,0.1604313850402832,,0,0.21595196425914764,,0,2026-06-18T03:22:22.6410000Z
181,0.2044665813446045,,0,,,,,,,2026-06-18T03:22:39.2000000Z
182,0.1693892478942871,,0,,,,,,,2026-06-18T03:22:52.8310000Z
183,0.19148147106170654,,0,,,,,,,2026-06-18T03:23:06.4760000Z
184,0.13226354122161865,,0,,,,,,,2026-06-18T03:23:20.4050000Z
185,0.1874828338623047,,0,,,,,,,2026-06-18T03:23:34.6350000Z
186,0.11690092086791992,,0,,,,,,,2026-06-18T03:23:48.5810000Z
187,0.19279015064239502,,0,,,,,,,2026-06-18T03:24:02.5270000Z
188,0.1658616065979004,,0,,,,,,,2026-06-18T03:24:16.7430000Z
189,0.15638673305511475,,0,,,,,,,2026-06-18T03:24:30.3900000Z
190,0.2191866636276245,,0,0.14121317863464355,,0,,,,2026-06-18T03:24:48.2430000Z
191,0.14304065704345703,,0,,,,,,,2026-06-18T03:25:01.8060000Z
192,0.10687971115112305,,0,,,,,,,2026-06-18T03:25:16.0420000Z
193,0.1020045280456543,,0,,,,,,,2026-06-18T03:25:30.3720000Z
194,0.12156033515930176,,0,,,,,,,2026-06-18T03:25:44.1130000Z
195,0.21385204792022705,,0,,,,,,,2026-06-18T03:25:57.8400000Z
196,0.1123652458190918,,0,,,,,,,2026-06-18T03:26:12.1780000Z
197,0.09596061706542969,,0,,,,,,,2026-06-18T03:26:25.8980000Z
198,0.11179089546203613,,0,,,,,,,2026-06-18T03:26:39.6400000Z
199,0.17846453189849854,,0,,,,,,,2026-06-18T03:26:53.6370000Z
200,0.14295721054077148,,0,0.12568068504333496,,0,,,,2026-06-18T03:27:11.5730000Z
201,0.09419512748718262,,0,,,,,,,2026-06-18T03:27:25.2000000Z
202,0.1125175952911377,,0,,,,,,,2026-06-18T03:27:39.4740000Z
203,0.07509541511535645,,0,,,,,,,2026-06-18T03:27:53.4940000Z
204,0.1255178451538086,,0,,,,,,,2026-06-18T03:28:07.1680000Z
205,0.11928820610046387,,0,,,,,,,2026-06-18T03:28:21.1190000Z
206,0.15232586860656738,,0,,,,,,,2026-06-18T03:28:38.1530000Z
207,0.10890746116638184,,0,,,,,,,2026-06-18T03:28:51.8710000Z
208,0.11425971984863281,,0,,,,,,,2026-06-18T03:29:06.1940000Z
209,0.08974647521972656,,0,,,,,,,2026-06-18T03:29:19.9200000Z
210,0.12593913078308105,,0,0.11174273490905762,,0,,,,2026-06-18T03:29:38.1990000Z
211,0.14122343063354492,,0,,,,,,,2026-06-18T03:29:51.8100000Z
212,0.13799726963043213,,0,,,,,,,2026-06-18T03:30:05.5440000Z
213,0.09708428382873535,,0,,,,,,,2026-06-18T03:30:19.2840000Z
214,0.13373935222625732,,0,,,,,,,2026-06-18T03:30:32.9980000Z
215,0.10756635665893555,,0,,,,,,,2026-06-18T03:30:46.7370000Z
216,0.10487890243530273,,0,,,,,,,2026-06-18T03:31:00.4640000Z
217,0.07591891288757324,,0,,,,,,,2026-06-18T03:31:14.2180000Z
218,0.11276865005493164,,0,,,,,,,2026-06-18T03:31:27.9400000Z
219,0.07313418388366699,,0,,,,,,,2026-06-18T03:31:41.6790000Z
220,0.15200698375701904,,0,0.11812496185302734,,0,,,,2026-06-18T03:31:59.9450000Z
221,0.09503960609436035,,0,,,,,,,2026-06-18T03:32:14.0900000Z
222,0.1099238395690918,,0,,,,,,,2026-06-18T03:32:28.0290000Z
223,0.07751154899597168,,0,,,,,,,2026-06-18T03:32:41.9640000Z
224,0.13912558555603027,,0,,,,,,,2026-06-18T03:32:55.6040000Z
225,0.32283908128738403,,0,,,,,,,2026-06-18T03:33:09.5370000Z
226,0.13148212432861328,,0,,,,,,,2026-06-18T03:33:23.2600000Z
227,0.15171611309051514,,0,,,,,,,2026-06-18T03:33:37.2120000Z
228,0.11336731910705566,,0,,,,,,,2026-06-18T03:33:51.1440000Z
229,0.2503528594970703,,0,,,,,,,2026-06-18T03:34:05.7030000Z
230,0.08691692352294922,,0,0.10300183296203613,,0,,,,2026-06-18T03:34:23.9010000Z
231,0.08889245986938477,,0,,,,,,,2026-06-18T03:34:37.5320000Z
232,0.2004634141921997,,0,,,,,,,2026-06-18T03:34:52.1400000Z
233,0.10041213035583496,,0,,,,,,,2026-06-18T03:35:05.8490000Z
234,0.11443591117858887,,0,,,,,,,2026-06-18T03:35:19.5490000Z
235,0.059874773025512695,,0,,,,,,,2026-06-18T03:35:33.2150000Z
236,0.0995795726776123,,0,,,,,,,2026-06-18T03:35:46.8610000Z
237,0.06835770606994629,,0,,,,,,,2026-06-18T03:36:00.7800000Z
238,0.07697820663452148,,0,,,,,,,2026-06-18T03:36:15.0480000Z
239,0.1990797519683838,,0,,,,,,,2026-06-18T03:36:28.7180000Z
240,0.0705561637878418,,0,0.08100318908691406,,0,,,,2026-06-18T03:36:46.5990000Z
241,0.08333349227905273,,0,,,,,,,2026-06-18T03:37:00.2100000Z
242,0.06616020202636719,,0,,,,,,,2026-06-18T03:37:13.9260000Z
243,0.15886998176574707,,0,,,,,,,2026-06-18T03:37:27.6040000Z
244,0.04868125915527344,,0,,,,,,,2026-06-18T03:37:41.3200000Z
245,0.0713498592376709,,0,,,,,,,2026-06-18T03:37:55.0450000Z
246,0.08252739906311035,,0,,,,,,,2026-06-18T03:38:08.7720000Z
247,0.22616446018218994,,0,,,,,,,2026-06-18T03:38:22.5120000Z
248,0.05480813980102539,,0,,,,,,,2026-06-18T03:38:39.1890000Z
249,0.054087162017822266,,0,,,,,,,2026-06-18T03:38:52.8530000Z
250,0.06479263305664062,,0,0.06731128692626953,,0,,,,2026-06-18T03:39:10.7350000Z
251,0.08603930473327637,,0,,,,,,,2026-06-18T03:39:24.5770000Z
252,0.09825348854064941,,0,,,,,,,2026-06-18T03:39:38.5310000Z
253,0.08221006393432617,,0,,,,,,,2026-06-18T03:39:52.7780000Z
254,0.10032892227172852,,0,,,,,,,2026-06-18T03:40:06.4170000Z
255,0.06890082359313965,,0,,,,,,,2026-06-18T03:40:20.0810000Z
256,0.1011667251586914,,0,,,,,,,2026-06-18T03:40:33.7540000Z
257,0.07964849472045898,,0,,,,,,,2026-06-18T03:40:47.7080000Z
258,0.19126558303833008,,0,,,,,,,2026-06-18T03:41:01.3660000Z
259,0.06586265563964844,,0,,,,,,,2026-06-18T03:41:15.0190000Z
260,0.09081292152404785,,0,0.05873847007751465,,0,,,,2026-06-18T03:41:32.8930000Z
261,0.0948939323425293,,0,,,,,,,2026-06-18T03:41:46.4670000Z
262,0.04117274284362793,,0,,,,,,,2026-06-18T03:42:00.4230000Z
263,0.0501706600189209,,0,,,,,,,2026-06-18T03:42:14.3990000Z
264,0.04318737983703613,,0,,,,,,,2026-06-18T03:42:28.0770000Z
265,0.10129928588867188,,0,,,,,,,2026-06-18T03:42:42.0350000Z
266,0.048447370529174805,,0,,,,,,,2026-06-18T03:42:55.9830000Z
267,0.06313443183898926,,0,,,,,,,2026-06-18T03:43:09.6430000Z
268,0.044887542724609375,,0,,,,,,,2026-06-18T03:43:23.8940000Z
269,0.09637784957885742,,0,,,,,,,2026-06-18T03:43:37.5440000Z
270,0.05180859565734863,,0,0.051226139068603516,,0,,,,2026-06-18T03:43:55.4270000Z
271,0.08883261680603027,,0,,,,,,,2026-06-18T03:44:08.9770000Z
272,0.05483651161193848,,0,,,,,,,2026-06-18T03:44:23.2070000Z
273,0.19020092487335205,,0,,,,,,,2026-06-18T03:44:37.4360000Z
274,0.05344843864440918,,0,,,,,,,2026-06-18T03:44:51.6690000Z
275,0.06772565841674805,,0,,,,,,,2026-06-18T03:45:05.6150000Z
276,0.04243588447570801,,0,,,,,,,2026-06-18T03:45:19.2580000Z
277,0.11117005348205566,,0,,,,,,,2026-06-18T03:45:33.1870000Z
278,0.04995155334472656,,0,,,,,,,2026-06-18T03:45:47.1210000Z
279,0.11707258224487305,,0,,,,,,,2026-06-18T03:46:00.7540000Z
280,0.09192657470703125,,0,0.03913307189941406,,0,,,,2026-06-18T03:46:19.2040000Z
281,0.14920055866241455,,0,,,,,,,2026-06-18T03:46:33.0440000Z
282,0.05973696708679199,,0,,,,,,,2026-06-18T03:46:47.0520000Z
283,0.05610203742980957,,0,,,,,,,2026-06-18T03:47:01.0030000Z
284,0.04399991035461426,,0,,,,,,,2026-06-18T03:47:14.6280000Z
